provinsi,tahun,jumlah_pengumpulan,jumlah_penyaluran,ipm,persenmiskin,tpt,jumlahislam,pdrb
SULAWESI BARAT,2020,11284148361,8154419240,66.11,11.5,3.32,1205065.0,46465911.98
SULAWESI BARAT,2021,11007582295,15034408471,66.36,11.85,3.13,1208735.0,50565529.05
SULAWESI BARAT,2022,58676749304,58676749304,66.92,11.92,2.34,1217339.0,54078347.69
SULAWESI BARAT,2023,109254323012,109254323012,67.55,11.49,2.27,1217339.0,58551815.24
SULAWESI SELATAN,2020,190828185341,241409706975,71.93,8.99,6.31,8256951.0,504052526.6
SULAWESI SELATAN,2021,238410908939,283766216249,72.24,8.53,5.72,8263575.0,544857139.6
SULAWESI SELATAN,2022,264687772209,264687772209,72.82,8.66,4.51,8359166.0,605148862.5
SULAWESI SELATAN,2023,578831799807,578831799807,73.46,8.7,4.33,8359166.0,652574052.4
SULAWESI TENGAH,2020,7571609555,6909132222,69.55,13.06,3.77,2374688.0,197440782.7
SULAWESI TENGAH,2021,10100901254,9212390428,69.79,12.18,3.75,2408937.0,247280350.6
SULAWESI TENGAH,2022,86311446444,86311446444,70.28,12.3,3.0,2450867.0,323630278.9
SULAWESI TENGAH,2023,244295765582,244295765582,70.95,12.41,2.95,2450867.0,347139169.5
SULAWESI TENGGARA,2020,14203098413,16954993042,71.45,11.69,4.58,2548386.0,130107270.1
SULAWESI TENGGARA,2021,23513929047,35787413940,71.66,11.74,3.92,2565710.0,139476773.6
SULAWESI TENGGARA,2022,9090723000,9090723000,72.23,11.27,3.36,2593226.0,158800272.3
SULAWESI TENGGARA,2023,93318579556,93318579556,72.79,11.43,3.15,2593226.0,176179902.0
SULAWESI UTARA,2020,10371813121,11517829082,72.93,7.78,7.37,843667.0,132230056.9
SULAWESI UTARA,2021,11508318752,13753273760,73.3,7.36,7.06,845194.0,142620420.0
SULAWESI UTARA,2022,7531949000,7531949000,73.81,7.34,6.61,849253.0,157039457.0
SULAWESI UTARA,2023,32927412853,32927412853,74.36,7.38,6.1,849253.0,171969422.0
